timestamp,db
01/07/2014 13:03:13,84.6
01/07/2014 13:03:14,86.7
01/07/2014 13:03:15,85.9
01/07/2014 13:03:16,85.3
01/07/2014 13:03:17,85.2
01/07/2014 13:03:18,85.4
01/07/2014 13:03:19,86.2
01/07/2014 13:03:20,85.6
01/07/2014 13:03:21,86.1
01/07/2014 13:03:22,90.4
01/07/2014 13:03:23,83.7
01/07/2014 13:03:24,83.9
01/07/2014 13:03:25,84.4
01/07/2014 13:03:26,83.8
01/07/2014 13:03:27,84.5
01/07/2014 13:03:28,85.4
01/07/2014 13:03:29,84.5
01/07/2014 13:03:30,84.3
01/07/2014 13:03:31,83.1
01/07/2014 13:03:32,82.2
01/07/2014 13:03:33,84.4
01/07/2014 13:03:34,86.1
01/07/2014 13:03:35,85.4
01/07/2014 13:03:36,86.5
01/07/2014 13:03:37,85.9
01/07/2014 13:03:38,86.8
01/07/2014 13:03:39,84.9
01/07/2014 13:03:40,81.6
01/07/2014 13:03:41,83.3
01/07/2014 13:03:42,83.4
01/07/2014 13:03:43,85.5
01/07/2014 13:03:44,84
01/07/2014 13:03:45,84.3
01/07/2014 13:03:46,85.5
01/07/2014 13:03:47,83.6
01/07/2014 13:03:48,85.2
01/07/2014 13:03:49,85.2
01/07/2014 13:03:50,83.5
01/07/2014 13:03:51,85.6
01/07/2014 13:03:52,84
01/07/2014 13:03:53,86.2
01/07/2014 13:03:54,88.2
01/07/2014 13:03:55,82.7
01/07/2014 13:03:56,77.4
01/07/2014 13:03:57,79.2
01/07/2014 13:03:58,81.3
01/07/2014 13:03:59,82.3
01/07/2014 13:04:00,84.5
01/07/2014 13:04:01,86.3
01/07/2014 13:04:02,82.9
01/07/2014 13:04:03,81.3
01/07/2014 13:04:04,80.6
01/07/2014 13:04:05,83.1
01/07/2014 13:04:06,86.6
01/07/2014 13:04:07,87.8
01/07/2014 13:04:08,86.3
01/07/2014 13:04:09,85.2
01/07/2014 13:04:10,81.7
01/07/2014 13:04:11,84.7
01/07/2014 13:04:12,82.2
01/07/2014 13:04:13,86.5
01/07/2014 13:04:14,84.2
01/07/2014 13:04:15,84.6
01/07/2014 13:04:16,85.4
01/07/2014 13:04:17,82.7
01/07/2014 13:04:18,83.3
01/07/2014 13:04:19,85.2
01/07/2014 13:04:20,83.2
01/07/2014 13:04:21,83.7
01/07/2014 13:04:22,86
01/07/2014 13:04:23,85.2
01/07/2014 13:04:24,85.6
01/07/2014 13:04:25,82.9
01/07/2014 13:04:26,81.3
01/07/2014 13:04:27,85.4
01/07/2014 13:04:28,83.5
01/07/2014 13:04:29,86.2
01/07/2014 13:04:30,87.7
01/07/2014 13:04:31,87.9
01/07/2014 13:04:32,91.2
01/07/2014 13:04:33,88.9
01/07/2014 13:04:34,87.1
01/07/2014 13:04:35,88.4
01/07/2014 13:04:36,88.9
01/07/2014 13:04:37,88.1
01/07/2014 13:04:38,87.8
01/07/2014 13:04:39,87.8
01/07/2014 13:04:40,88.3
01/07/2014 13:04:41,87.1
01/07/2014 13:04:42,87.6
01/07/2014 13:04:43,87.8
01/07/2014 13:04:44,86.6
01/07/2014 13:04:45,86.1
01/07/2014 13:04:46,85.4
01/07/2014 13:04:47,84.7
01/07/2014 13:04:48,85.1
01/07/2014 13:04:49,83.4
01/07/2014 13:04:50,85.3
01/07/2014 13:04:51,85.5
01/07/2014 13:04:52,85.2
01/07/2014 13:04:53,84.1
01/07/2014 13:04:54,84.1
01/07/2014 13:04:55,83.8
01/07/2014 13:04:56,86
01/07/2014 13:04:57,85.8
01/07/2014 13:04:58,85.7
01/07/2014 13:04:59,86.1
01/07/2014 13:05:00,83.6
01/07/2014 13:05:01,87.1
01/07/2014 13:05:02,86.5
01/07/2014 13:05:03,87.4
01/07/2014 13:05:04,85.8
01/07/2014 13:05:05,83.6
01/07/2014 13:05:06,85.4
01/07/2014 13:05:07,86.3
01/07/2014 13:05:08,87.2
01/07/2014 13:05:09,84.3
01/07/2014 13:05:10,84.5
01/07/2014 13:05:11,84.3
01/07/2014 13:05:12,84.7
01/07/2014 13:05:13,83.8
01/07/2014 13:05:14,84.8
01/07/2014 13:05:15,83.3
01/07/2014 13:05:16,85.6
01/07/2014 13:05:17,85.7
01/07/2014 13:05:18,85.3
01/07/2014 13:05:19,83.8
