timestamp	db	tiempodejuego	average
01/07/2014 13:21:37	88.80	21:10	87.39
01/07/2014 13:21:47	95.10	21:20	84.23
01/07/2014 13:21:57	81.40	21:30	82.54
01/07/2014 13:22:07	79	21:40	84.33
01/07/2014 13:22:17	84.40	21:50	85.16
01/07/2014 13:22:27	84.10	22:00	84.83
01/07/2014 13:22:37	87.70	22:10	86.22
01/07/2014 13:22:47	81.80	22:20	84.73
01/07/2014 13:22:57	86.10	22:30	86.12
01/07/2014 13:23:07	84.10	22:40	86.43
01/07/2014 13:23:17	86.70	22:50	85.17
01/07/2014 13:23:27	84.60	23:00	85.82
01/07/2014 13:23:37	86.90	23:10	85.54
01/07/2014 13:23:47	86.10	23:20	84.85
01/07/2014 13:23:57	85.50	23:30	84.19
01/07/2014 13:24:07	86.90	23:40	87.28
01/07/2014 13:24:17	91.10	23:50	87.66
01/07/2014 13:24:27	93.10	24:00	89.51
01/07/2014 13:24:37	87.30	24:10	85.91
01/07/2014 13:24:47	86.90	24:20	84.60
01/07/2014 13:24:57	84.50	24:30	84.32
01/07/2014 13:25:07	86.60	24:40	89.21
01/07/2014 13:25:17	86.70	24:50	89.46
01/07/2014 13:25:27	81.70	25:00	83.26
01/07/2014 13:25:37	85.70	25:10	84.38
01/07/2014 13:25:47	83.80	25:20	84.34
01/07/2014 13:25:57	83.10	25:30	83.37
01/07/2014 13:26:07	84.70	25:40	84.43
01/07/2014 13:26:17	85.50	25:50	83.61
01/07/2014 13:26:27	83.80	26:00	83.34
01/07/2014 13:26:37	83.10	26:10	85.56
01/07/2014 13:26:47	87.30	26:20	85.93
01/07/2014 13:26:57	87.20	26:30	84.34
01/07/2014 13:27:07	86.50	26:40	82.55
01/07/2014 13:27:17	86.50	26:50	85.51
01/07/2014 13:27:27	86.10	27:00	85.68
01/07/2014 13:27:37	85.80	27:10	88.80
01/07/2014 13:27:47	90.30	27:20	91.42
01/07/2014 13:27:57	90.10	27:30	86.04
01/07/2014 13:28:07	83.80	27:40	85.06
01/07/2014 13:28:17	83.80	27:50	84.33
01/07/2014 13:28:27	86.70	28:00	84.71
01/07/2014 13:28:37	90.30	28:10	86.59
01/07/2014 13:28:47	84.50	28:20	88.81
01/07/2014 13:28:57	94.70	28:30	85.66
01/07/2014 13:29:07	86.70	28:40	86.50
01/07/2014 13:29:17	88.10	28:50	87.52
01/07/2014 13:29:27	88.70	29:00	88.25
01/07/2014 13:29:37	89.20	29:10	87.84
01/07/2014 13:29:47	89.20	29:20	88.50
01/07/2014 13:29:57	88.20	29:30	90.69
01/07/2014 13:30:07	87	29:40	85.51
01/07/2014 13:30:17	83.90	29:50	83.52
01/07/2014 13:30:27	85.20	30:00	82.45
01/07/2014 13:30:37	81	30:10	82.03
01/07/2014 13:30:47	83.90	30:20	82.36
01/07/2014 13:30:57	83.50	30:30	82.27
01/07/2014 13:31:07	82.10	30:40	82.89
01/07/2014 13:31:17	82.10	30:50	84.75
01/07/2014 13:31:27	87.40	31:00	85.22
01/07/2014 13:31:37	81.90	31:10	83.91
01/07/2014 13:31:47	81.40	31:20	82.71
01/07/2014 13:31:57	85.20	31:30	84.71
01/07/2014 13:32:07	86.40	31:40	88.75
