decibeles,minutosPartido
"90,60",50:53
"84,30",50:54
"80,50",50:55
"84,20",50:56
"80,50",50:57
"83,40",50:58
"81,70",51:00
"82,60",51:00
"84,60",51:01
"84,50",51:02
"84,00",51:03
"86,60",51:04
"84,10",51:05
"83,80",51:06
"76,70",51:07
"83,20",51:09
"84,50",51:09
"84,60",51:10
"81,50",51:11
"84,80",51:12
"85,60",51:13
"90,20",51:14
"93,50",51:15
"91,30",51:16
"92,90",51:17
"94,00",51:18
"90,40",51:19
"87,00",51:20
"87,70",51:21
"83,90",51:22
"83,10",51:23
"81,10",51:24
"84,90",51:25
"83,90",51:26
"84,10",51:27
"82,80",51:28
"84,60",51:29
"82,10",51:30
"83,20",51:31
"84,10",51:32
"82,50",51:33
"82,30",51:34
"81,60",51:35
"83,70",51:36
"83,40",51:37
"80,90",51:38
"84,20",51:39
"83,10",51:40
"83,00",51:41
"79,90",51:42
"83,80",51:43
"82,10",51:45
"81,30",51:45
"82,00",51:46
"83,60",51:47
"83,40",51:48
"82,70",51:49
"81,90",51:50
"82,20",51:51
"83,80",51:52
"83,00",51:54
"84,40",51:54
"83,10",51:55
"82,80",51:56
"80,00",51:57
"82,10",51:58
"83,00",51:59
"84,00",52:00
"82,00",52:01
"81,10",52:02
"84,10",52:03
"83,00",52:04
"83,30",52:05
"85,50",52:06
"84,80",52:07
"86,80",52:08
"80,20",52:09
"85,10",52:10
"84,50",52:11
"81,90",52:12
"82,60",52:13
"82,60",52:14
"82,70",52:15
"80,30",52:16
"82,30",52:17
"84,10",52:18
"85,00",52:19
"83,90",52:20
"81,00",52:21
"83,90",52:22
"81,90",52:23
"84,30",52:24
"81,90",52:25
"79,80",52:26
"84,50",52:27
"82,70",52:28
"83,40",52:30
"82,20",52:30
"83,90",52:31
"74,50",52:32
"76,50",52:33
"76,90",52:34
"79,00",52:35
"85,30",52:36
"83,30",52:37
"80,30",52:39
"85,20",52:39
"84,60",52:40
"82,50",52:41
"86,80",52:42
"85,60",52:43
"83,40",52:44
"86,90",52:45
"84,00",52:46
"93,60",52:47
"98,00",52:48
"105,80",52:49
"106,10",52:50
"101,60",52:51
"100,70",52:52
"96,00",52:53
"90,30",52:54
"89,30",52:55
"82,20",52:56
"83,60",52:57
"84,70",52:58
"83,30",52:59
"85,60",53:00
"84,20",53:01
"84,60",53:02
"84,30",53:03
"83,70",53:04
"83,30",53:05
"82,90",53:06
"81,40",53:07
"83,40",53:08
"84,80",53:09
"83,50",53:10
"81,80",53:11
"83,50",53:12
"82,70",53:13
"82,30",53:15
"86,20",53:15
"83,50",53:16
"86,60",53:17
"82,10",53:18
"83,80",53:19
"84,80",53:20
"86,30",53:21
"87,70",53:22
"87,80",53:24
"90,00",53:24
"88,90",53:25
"85,00",53:26
"84,50",53:27
"82,40",53:28
"82,00",53:29
"85,20",53:30
"83,70",53:31
"84,50",53:32
"81,80",53:33
"80,30",53:34
"84,60",53:35
"83,50",53:36
"84,40",53:37
"81,80",53:38
"83,40",53:39
"83,60",53:40
"85,20",53:41
"84,00",53:42
"86,50",53:43
"82,90",53:44
"81,80",53:45
"84,10",53:46
"80,80",53:47
"85,20",53:48
"81,30",53:49
"84,50",53:50
"80,40",53:51
"83,90",53:52
"84,20",53:53
"90,30",53:54
"96,40",53:55
"90,40",53:56
"91,10",53:57
"91,10",53:58
"92,80",54:00
"93,10",54:00
"82,40",54:01
"82,70",54:02
"86,30",54:03
"85,90",54:04
"83,10",54:05
"81,20",54:06
"84,10",54:07
"83,00",54:09
"83,20",54:09
"93,10",54:10
"82,30",54:11
"83,70",54:12
"84,00",54:13
"82,30",54:14
"84,60",54:15
"86,30",54:16
"81,80",54:17
"84,50",54:18
"81,00",54:19
"83,90",54:20
"84,50",54:21
"85,50",54:22
"82,90",54:23
"82,30",54:24
"81,00",54:25
"83,10",54:26
"83,70",54:27
"82,80",54:28
"84,00",54:29
"83,40",54:30
"85,00",54:31
"80,70",54:32
"85,20",54:33
"85,10",54:34
"84,40",54:35
"79,90",54:36
"83,90",54:37
"81,00",54:38
"85,10",54:39
"83,50",54:40
"85,60",54:41
"87,50",54:42
"89,20",54:43
"85,40",54:45
"86,00",54:45
"86,90",54:46
"85,40",54:47
"85,30",54:48
"86,00",54:49
"85,90",54:50
"85,60",54:51
"84,00",54:52
"79,50",54:54
"85,70",54:54
"86,80",54:55
"86,10",54:56
"83,30",54:57
"79,00",54:58
"82,40",54:59
"83,70",55:00
"84,70",55:01
"84,70",55:02
"82,80",55:03
"83,00",55:04
"85,00",55:05
"85,40",55:06
"84,00",55:07
"85,40",55:08
"85,20",55:09
"85,80",55:10
"84,70",55:11
"84,60",55:12
"84,60",55:13
"85,70",55:14
"86,40",55:15
"85,20",55:16
"83,70",55:17
"86,40",55:18
"88,00",55:19
"88,60",55:20
"89,50",55:21
"87,70",55:22
"88,70",55:23
"86,30",55:24
"89,40",55:25
"87,80",55:26
"87,80",55:27
"86,10",55:28
"85,80",55:30
"86,50",55:30
"88,30",55:31
"83,60",55:32
"84,10",55:33
"84,20",55:34
"82,50",55:35
"84,20",55:36
"84,40",55:37
"85,40",55:39
"84,10",55:39
"84,00",55:40
"84,70",55:41
"83,70",55:42
"81,60",55:43
"86,10",55:44
"82,30",55:45
"84,70",55:46
"85,00",55:47
"86,30",55:48
"83,10",55:49
"84,40",55:50
"84,40",55:51
"85,70",55:52
"85,40",55:53
"84,10",55:54
"86,40",55:55
"85,60",55:56
"82,30",55:57
"86,60",55:58
"84,80",55:59
"81,80",56:00
"84,60",56:01
"85,00",56:02
"84,90",56:03
"85,00",56:04
"80,50",56:05
"81,90",56:06
"84,90",56:07
"83,20",56:08
"86,50",56:09
"82,80",56:10
"84,10",56:11
"84,60",56:12
"82,80",56:13
"79,80",56:15
"85,10",56:15
"83,80",56:16
"79,00",56:17
"83,80",56:18
"85,30",56:19
"78,90",56:20
"84,80",56:21
"84,70",56:22
"84,50",56:24
"85,70",56:24
"97,90",56:25
"111,00",56:26
"100,80",56:27
"93,90",56:28
"89,60",56:29
"92,50",56:30
"93,40",56:31
"95,20",56:32
"94,10",56:33
"92,20",56:34
"90,60",56:35
"90,30",56:36
"84,10",56:37
"83,30",56:38
"85,60",56:39
"84,70",56:40
"86,80",56:41
"86,50",56:42
"84,30",56:43
"85,40",56:44
"85,80",56:45
