name,latitude,longitude,population,color
Aduana,0,0,0,#C4C4C4
Alsina,0,0,0,#BABABA
Arenales,0,0,0,#7F7F7F
CMD,0,0,0,#DEDEDE
Congreso,0,0,0,#BEBEBE
Distrito Audiovisual,0,0,0,#556270
Emma de la Barra,0,0,0,#DCDCDC
Facultad de Derecho,0,0,0,#454545
Independencia,0,0,0,#858585
Montevideo,0,0,0,#ABABAB
Obelisco,0,0,0,#B8B8B8
Once,0,0,0,#C0C0C0
Pacífico,0,0,0,#EDEDED
Parque Centenario,0,0,0,#5E5E5E
Parque Las Heras,0,0,0,#6CDFEA
Parque Lezama,0,0,0,#D3D3D3
Parque Patricios,0,0,0,#4A4A4A
Plaza Almagro,0,0,0,"#C3FF68	"
Plaza Boedo,0,0,0,#CFCFCF
Plaza de Mayo,0,0,0,#A1A1A1
Plaza Emilio Mitre,0,0,0,#7A7A7A
Plaza Guemes,0,0,1,#7A7A7A
Plaza Houssay,0,0,2,#7A7A7A
Plaza Italia,0,0,3,#7A7A7A
Plaza Roma,0,0,4,#7A7A7A
Plaza San Martín,0,0,5,#7A7A7A
Plaza Vicente López,0,0,6,#7A7A7A
Puerto Madero - UCA,0,0,7,#7A7A7A
Retiro,0,0,8,#7A7A7A
Suipacha,0,0,9,#7A7A7A
Tribunales,0,0,10,#7A7A7A
Virrey Cevallos,0,0,11,#7A7A7A
